,graph,reward,trialNumber,trial_index,visited_nodes,difficulty,difficulty_2,unchoosen_diff,type,wid,RT_first_visit,RT_second_visit,RT,max_reward,current_reward,loss,accuracy,accuracy_1,df
1,"[[2, 8], [], [8], [], [3, 7], [], [9, 4], [], [], [5, 1]]","[1, -1, 0, 1, -1, 0, None, 4, -1, -4]",2,8,"{4, 6, 7}",6,5.0,1.0,best_second,wdf61453,7.889084407035514,7.783640596221253,8.53070154144103,3,3,0,1,1,2
3,"[[], [], [], [6], [9, 1], [3, 6], [], [8, 4], [0, 2], []]","[3, -2, 1, 3, 0, -2, 0, None, -2, -3]",4,10,"{1, 4, 7}",3,2.0,2.0,best_second,wdf61453,7.541152455136308,7.761744984658913,8.350429973538136,1,-2,3,0,0,2
5,"[[3, 5], [], [9, 1], [], [8, 0], [], [], [], [6, 7], [1]]","[-3, 0, -3, -2, None, -1, -1, 4, 4, -2]",6,12,"{8, 4, 7}",10,0.0,1.0,best_second,wdf61453,7.1131421087070885,7.459914766241105,7.994294986415977,8,8,0,1,1,2
7,"[[7, 5], [], [], [], [], [8, 1], [2], [3, 4], [], [6, 2]]","[None, -2, 1, 0, 2, 3, 0, 0, 4, 0]",8,14,"{0, 8, 5}",6,5.0,2.0,best_third,wdf61453,7.523481312573497,7.218176838403407,8.07527154629746,7,7,0,1,1,2
9,"[[], [9, 5], [], [7, 8], [3, 6], [], [2, 0], [], [], [5]]","[-3, -4, -4, 4, None, -1, -3, 0, 4, 4]",10,16,"{8, 3, 4}",11,0.0,1.0,best_second,wdf61453,7.45298232946546,7.286191714702382,8.065893546964274,8,8,0,1,1,2
11,"[[], [], [4, 6], [], [6], [], [], [0, 5], [1, 3], [8, 7]]","[-3, 4, 0, -4, 1, -2, 3, -1, 2, None]",12,18,"{8, 9, 1}",9,6.0,1.0,best_second,wdf61453,8.015327309021718,7.20414929203594,8.382747094863314,6,6,0,1,1,2
13,"[[4, 5], [6, 0], [3, 7], [7], [], [], [8, 9], [], [], []]","[2, None, 0, 4, -4, 4, -4, 1, -4, -1]",14,20,"{0, 1, 4}",11,2.0,3.0,best_second,wdf61453,7.583247524303362,7.22983877815125,8.114922974204593,6,-2,8,0,1,2
15,"[[8, 6], [3], [5, 7], [], [1, 3], [], [], [], [], [2, 0]]","[2, 2, 0, 3, 2, 1, -3, -3, 2, None]",16,22,"{0, 9, 8}",5,5.0,4.0,best_third,wdf61453,8.725994381014571,6.246106765481563,8.806274284781725,4,4,0,1,1,2
17,"[[2, 6], [4, 9], [3, 8], [], [9], [], [7, 5], [], [], []]","[None, 1, 2, 3, 3, -2, -2, -1, -4, 0]",18,24,"{0, 2, 3}",8,6.0,1.0,best_second,wdf61453,8.081784206935001,6.763884908562435,8.318742252692399,5,5,0,1,1,2
19,"[[], [], [], [6, 5], [], [4, 2], [8, 0], [1], [], [7, 1]]","[1, 3, -3, None, -4, -1, -4, 3, 2, -2]",20,26,"{2, 3, 5}",2,2.0,1.0,best_second,wdf61453,7.348587530927593,8.110427237575026,8.493310250952906,-2,-4,2,0,0,2
