,graph,reward,trialNumber,difficulty,difficulty_2,type,wid,RT_first_visit,RT_second_visit,RT,max_reward,current_reward,loss,accuracy,accuracy_1,df,unchoosen_diff
0,"[[], [], [], [10, 5], [7, 2], [1, 0], [], [2], [], [], [8, 6]]","[-3, 2, 3, None, -1, 3, -2, 0, -3, -2, -2]",317,8,6.0,best_second,w58a3a3f,8.133880887949205,7.998335395952982,8.761393485256058,5,5,0,1,1,2,1.0
1,"[[6, 7], [], [], [], [8, 1], [], [10, 2], [3, 9], [1], [], []]","[None, -3, -2, -4, -3, 4, 3, 1, 2, 1, 3]",19,6,5.0,best_third,w58a3a3f,8.228443883004035,7.969011781106478,8.800113946766308,6,6,0,1,1,2,5.0
2,"[[], [], [], [], [10, 7], [], [9, 8], [], [3, 5], [2, 1], [7]]","[3, 3, -1, 0, -4, -4, None, -4, -4, 4, 4]",389,10,1.0,best_second,w58a3a3f,7.990915463091325,7.842278779117352,8.612321536507816,7,7,0,1,1,2,4.0
4,"[[], [4, 3], [], [], [], [], [], [1, 8], [2, 6], [5], [9, 5]]","[-2, 2, -4, 3, -2, -2, -2, None, -3, -4, -2]",237,9,1.0,best_second,w58a3a3f,7.8160138391590275,7.558516743045645,8.388450315523512,5,5,0,1,1,2,2.0
5,"[[], [], [7, 6], [], [], [1, 0], [], [], [2, 5], [3], [9, 3]]","[0, -2, -1, -4, 2, 4, 2, -2, None, 0, -3]",121,4,4.0,best_second,w58a3a3f,7.961370201719511,7.948031990637284,8.647694999480397,4,4,0,1,1,2,4.0
6,"[[], [0], [], [], [8, 3], [7, 4], [1, 0], [2, 10], [], [], []]","[1, 4, 4, -1, -1, None, -1, 3, 4, 0, -4]",9,7,7.0,best_third,w58a3a3f,7.780303087908373,7.0130157896396295,8.161375023197486,7,7,0,1,1,2,5.0
7,"[[9], [], [], [], [10, 1], [0, 9], [7, 4], [3, 8], [], [], []]","[-1, 3, 0, -1, -2, 3, None, 1, 1, 1, 1]",313,2,0.0,best_third,w58a3a3f,7.771910256435763,8.666647144584577,9.009202900924588,2,2,0,1,1,2,2.0
10,"[[], [7], [], [0, 5], [3, 10], [], [1, 7], [], [], [], [2, 8]]","[-1, 4, -3, 1, None, 2, -4, -1, -2, 3, 4]",207,2,6.0,best_min,w58a3a3f,8.173575486634153,8.594709633844065,9.09918532261002,3,2,1,0,0,2,3.0
11,"[[], [4], [], [2, 0], [], [9, 10], [], [1, 4], [3, 5], [], []]","[0, -3, -1, -3, 4, 1, 2, -1, None, 2, -3]",129,6,4.0,best_second,w58a3a3f,8.314342343369791,7.575071699507561,8.70450228972123,3,3,0,1,1,2,1.0
14,"[[], [], [], [], [8, 1], [2, 0], [9, 3], [], [1], [], [5, 6]]","[-3, -2, -1, -4, 0, 3, -3, 2, -4, 4, None]",335,4,6.0,best_third,w58a3a3f,7.763021309018518,7.4673710669175595,8.318986125392058,2,2,0,1,1,2,8.0
15,"[[8, 5], [], [], [], [9], [2, 3], [], [], [7, 1], [], [4, 9]]","[None, -4, 4, -4, -1, 2, 2, 4, -2, 0, 3]",209,8,6.0,best_third,w58a3a3f,8.03689677268507,6.784457062637643,8.288031567776464,6,6,0,1,1,2,8.0
20,"[[1, 4], [], [], [9, 2], [], [], [], [8, 5], [], [2], [0, 7]]","[0, 0, 1, -3, -2, 2, 1, 2, 0, 1, None]",87,4,0.0,best_second,w58a3a3f,8.182838710766026,7.471932078245122,8.58223158759546,4,4,0,1,1,2,2.0
21,"[[1, 6], [], [5, 9], [], [0, 8], [9], [], [], [10, 3], [], []]","[3, 3, 1, 4, None, 1, 0, 2, -4, -4, -2]",5,7,3.0,best_second,w58a3a3f,7.704811922932594,7.404887575616125,8.258940462988459,6,6,0,1,1,2,6.0
22,"[[2], [4, 7], [], [], [], [], [8, 1], [], [3, 10], [0, 2], []]","[2, -1, 4, 3, 0, -3, None, 2, 1, 2, -1]",167,4,3.0,best_third,w58a3a3f,8.463792414689122,8.168486417126681,9.020026965252676,4,-1,5,0,0,2,4.0
23,"[[4, 3], [6, 0], [], [], [], [10], [8, 7], [], [], [5, 10], []]","[-3, None, 2, -1, -2, -3, 3, -3, 4, -2, -4]",399,10,6.0,best_second,w58a3a3f,7.437206366871293,7.029087564149662,7.946617563244473,7,7,0,1,1,2,1.0
24,"[[], [0], [], [], [], [], [], [8, 10], [4, 5], [1, 0], [6, 2]]","[4, 0, 4, 4, -4, 2, 0, None, 3, 3, 0]",1,4,1.0,best_min,w58a3a3f,8.872487182278038,6.77078942390898,8.987696695703624,5,5,0,1,1,2,4.0
25,"[[6, 2], [4, 3], [], [5, 7], [8, 9], [], [2], [], [], [], []]","[3, None, 1, 0, 2, -2, 2, 0, 2, -3, 2]",221,5,5.0,best_third,w58a3a3f,8.50936261230105,6.853299093186078,8.683893367307236,4,4,0,1,1,2,2.0
29,"[[9, 2], [], [], [7, 4], [], [1, 10], [0, 5], [4], [], [], []]","[1, 3, 4, 2, -3, 3, None, 0, -3, -4, 1]",325,4,2.0,best_third,w58a3a3f,7.5745584842024805,7.00033446027523,8.020927718981575,6,6,0,1,1,2,8.0
